id,sex,bdate,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,city,last_seen,occupation_type,occupation_name,career_start,career_end,result
64100,2,23.4.1990,1,1.0,150.0,2012.0,Full-time,2.0,Student (Specialist),Русский;English,0,0,Kaliningrad,2020-08-19 20:47:43,university,"БФУ им. Канта (бывш. РГУ им. Канта, КГУ)",False,False,0
46851,2,11.4,0,1.0,92.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Русский,0,0,,2020-12-25 10:31:53,university,ЛНУ (бывш. ЛНПУ) им. Тараса Шевченко,False,False,0
13159,2,5.10,0,1.0,62.0,2012.0,Full-time,0.0,Alumnus (Specialist),Русский,0,6,Mogilev,2020-03-06 03:37:47,university,"БРУ (бывш. МГТУ, ММИ)",False,False,0
59148,1,1.3.1967,0,1.0,179.0,1989.0,Full-time,4.0,PhD,Русский,False,False,Moscow,2020-10-10 18:06:27,university,Bodø Graduate School of Business,False,False,0
46429,2,,0,1.0,74.0,2008.0,Full-time,7.0,Alumnus (Specialist),Русский,3,2,Ryazan,2020-01-03 03:34:09,university,"РГРТУ (бывш. РГРТА, РРТИ)",False,False,0
58719,1,13.2,0,1.0,142.0,2009.0,,0.0,Alumnus (Specialist),False,0,0,Moscow,2020-05-07 14:36:26,work,www.lepic-gallery.com,2010,False,1
48095,1,31.10,0,1.0,751.0,2021.0,,0.0,Student (Bachelor's),Русский,0,0,Moscow,2020-04-11 08:47:01,university,ММУ (МУМ),2018,False,1
4093,2,1.5.1990,0,1.0,112.0,2014.0,Distance Learning,4.0,PhD,Русский,1,2,,2020-11-26 16:03:50,university,СГАСУ (БФ),2010,2015,0
63172,1,6.6.1990,1,1.0,318.0,2012.0,Full-time,4.0,Student (Bachelor's),False,0,0,Izhevsk,2020-03-21 18:05:54,work,"АКБ ""Ижкомбанк"" ПАО",2007,False,1
63848,1,2.10,1,1.0,294.0,2018.0,Distance Learning,0.0,Student (Specialist),Русский,False,False,Yekaterinburg,2020-12-22 10:06:14,university,УрФУ им. первого Президента России Б. Н. Ельцина,False,False,1
66760,1,31.1.1990,0,1.0,77.0,2011.0,Full-time,1.0,Student (Bachelor's),False,0,0,,2020-07-04 19:59:45,university,НИУ ВШЭ (ГУ-ВШЭ),False,False,1
4682,2,20.6,1,1.0,23.0,2007.0,Distance Learning,4.0,Alumnus (Specialist),Русский,0,0,Zheleznovodsk,2020-12-14 10:30:06,university,ЮУ (ИУБиП),False,False,0
81358,1,11.6,1,1.0,3148.0,2010.0,Part-time,6.0,Alumnus (Specialist),Русский,0,0,Ryazan,2020-04-23 11:37:54,work,Комп & Кофе | интернет-маркетинг,2007,False,1
2,2,15.3.1985,1,1.0,86.0,2010.0,Full-time,4.0,Student (Specialist),False,False,False,Irkutsk,2020-11-07 20:03:54,university,"ИРНИТУ (бывш. НИ ИрГТУ, ИПИ)",False,False,0
17951,2,,0,1.0,89.0,2013.0,Full-time,4.0,Student (Bachelor's),Русский;English;Українська,6,2,Cherkassy,2020-09-19 03:03:28,university,ЧГТУ (бывш. ЧИТИ),False,False,0
64151,2,22.3,1,1.0,243.0,2018.0,Distance Learning,0.0,Student (Specialist),False,0,0,Khabarovsk,2020-03-14 20:58:39,university,"ТОГУ (бывш. ХПИ, ХГТУ)",False,False,0
62802,2,4.11.1993,1,1.0,322.0,2015.0,Part-time,4.0,Student (Bachelor's),Русский,0,2,Saint Petersburg,2020-05-13 16:32:00,university,НГУ им. П. Ф. Лесгафта (бывш. СПбГУФК),False,False,0
1865,2,13.4.1987,0,1.0,212.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,False,False,Saint Petersburg,2020-04-21 01:08:09,university,НИУ МЭИ,False,False,0
50575,2,18.5.1983,0,1.0,62.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,5,2,,2020-12-14 23:15:16,university,НУ «ЛП»,2007,2011,0
19315,2,21.11,1,1.0,86.0,1986.0,Full-time,1.0,Alumnus (Specialist),Русский,0,0,Moscow,2020-01-30 00:32:16,work,"Спортивный клуб ""СИНТЕЗ""",1980,False,0
64317,2,7.10,1,1.0,76.0,2007.0,Distance Learning,1.0,Alumnus (Specialist),Русский,False,False,Novogrodovka,2020-12-17 07:31:45,university,"Днепровская политехника (бывш. НГУ, ДГИ им. Артёма)",False,False,0
31338,2,25.1,1,1.0,68.0,2011.0,Full-time,4.0,Alumnus (Specialist),False,0,0,Selyatino (poselok),2020-08-31 23:25:41,work,Элекснет,2006,False,0
97656,1,9.7,0,1.0,606.0,2014.0,Full-time,0.0,Alumnus (Master's),False,False,False,Kyiv,2020-03-19 23:15:27,university,НПУ им. М. Драгоманова,False,False,1
10885,1,,1,1.0,172.0,2012.0,Full-time,0.0,Student (Specialist),Русский,0,2,Krasnoyarsk,2020-11-16 19:26:06,university,КрасГУ,False,False,1
94635,2,16.12.1983,0,1.0,69.0,2005.0,Full-time,4.0,Alumnus (Specialist),Русский,0,0,Novokuznetsk,2020-02-04 02:22:18,university,"СибГИУ (СМИ, СибГГМА)",False,False,1
58985,1,14.8.1985,1,1.0,369.0,2007.0,Full-time,0.0,Alumnus (Specialist),False,False,False,Perm,2020-02-27 23:27:19,work,"МБОУ ""Северокоммунарская СОШ""",2008,False,1
24011,2,7.8,0,1.0,588.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Русский;Саха тыла,1,5,Yakutsk,2020-01-29 06:07:42,work,Отдел №15 УФК по Республике Саха (якутия),2007,False,0
8294,2,20.4.1989,1,1.0,217.0,2011.0,Distance Learning,0.0,Alumnus (Bachelor's),Українська;Русский;English,6,2,Kyiv,2020-12-02 21:12:43,work,MacKiev,2009,False,0
65685,1,9.7.1981,0,1.0,2837.0,2006.0,Distance Learning,4.0,Alumnus (Specialist),Русский,False,False,Saint Petersburg,2020-02-16 07:58:51,work,Город Петергоф,2000,False,1
35159,2,,0,1.0,954.0,2015.0,Full-time,4.0,Student (Specialist),Русский,1,5,Irkutsk,2020-05-25 10:33:35,university,ВСГАО (бывш. ИГПУ),False,False,1
12196,1,3.12.1992,0,1.0,276.0,2017.0,Full-time,0.0,Student (Master's),False,0,0,Sydney,2020-09-24 21:12:45,university,"КНИТУ (бывш. КГТУ, КХТИ)",False,False,1
22852,2,29.6.1989,0,1.0,64.0,2010.0,Full-time,1.0,Alumnus (Specialist),Українська;Русский;English,0,0,Kyiv,2020-03-06 14:32:48,work,Кравчук Алексей. Блог- Страница Проектов...,2014,False,1
7360,2,21.12,1,1.0,213.0,0.0,Full-time,4.0,Student (Master's),Русский,1,2,Kursk,2020-04-01 02:37:01,university,КГУ,False,False,0
8124,2,26.4.1955,0,1.0,0.0,1981.0,Full-time,0.0,Alumnus (Specialist),Русский,False,False,,2020-03-01 17:07:35,university,Горный университет (бывш. СПГГУ),1984,2009,1
76884,1,27.9,1,1.0,476.0,0.0,Full-time,0.0,Student (Specialist),Русский;English,False,False,Saint Petersburg,2020-10-20 16:55:00,university,СПбГМТУ (бывш. ЛКИ),False,False,1
73194,2,,0,1.0,305.0,2013.0,Full-time,6.0,Student (Specialist),Русский,6,0,Novokuznetsk,2020-10-31 09:20:41,university,КГПИ (НФИ) КемГУ,False,False,0
10066,1,6.10.1994,0,1.0,1204.0,2016.0,Full-time,4.0,Student (Bachelor's),Русский;Deutsch;English,False,2,Saint Petersburg,2020-12-13 13:57:58,university,РГПУ им. А. И. Герцена,False,False,1
23515,1,3.12,1,1.0,287.0,2009.0,Full-time,7.0,Alumnus (Specialist),Русский,0,0,,2020-08-17 23:39:25,work,"Театральная Студия ""АТМОСФЕРА""",2009,False,1
20175,2,8.10.1981,0,1.0,54.0,2014.0,Full-time,4.0,Undergraduate applicant,Русский,False,False,Zaporizhia,2020-08-24 03:32:21,university,"НУ «Запорожская политехника» (бывш. ЗНТУ, ЗГТУ, ЗМИ)",False,False,0
3980,2,13.3.1989,1,1.0,464.0,2011.0,Full-time,1.0,Student (Specialist),Русский,False,False,Ufa,2020-01-07 22:36:15,work,"ДОК ""Березка""",2007,2021,1
94217,2,12.9.1978,1,1.0,62.0,2001.0,Full-time,4.0,Alumnus (Specialist),False,0,0,Fedorovsky,2020-06-12 16:26:43,university,ОмГТУ,False,False,0
